feature,coef
asset_turnover_diff,0.14526487689113618
cash_ratio_diff,0.05832306074660698
capex_intensity_diff,0.045059366190240834
rsi14_diff,0.03713743824853322
vol_shock20_diff,0.02176221120006014
ma_gap20_diff,0.01401504358964101
mom63_diff,0.01184887931409504
leverage_diff,0.008928211400923708
mom21_diff,-0.013732226510522211
rv21_diff,-0.036738883745280414
mom5_diff,-0.04050224583713096
log_mcap_diff,-0.11149516608852997
net_margin_diff,-0.12140392020277448
op_margin_diff,-0.1887524010564165
rnd_intensity_diff,-0.3034634729015787
